Patente;Nro;FECHA;Kms.;MOTIVO;DESCRIPCIÓN;LUGAR;FACTURA Nro.;FECHA DE PAGO;MONTO;OBSERVACIONES;
AG315HD;101;3/2/2025;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002467;12/3/2025;$ 620.887,99;;
AF757AT;102;30/1/2025;60.000;SERVICIO;REPARACION SINIESTRO 743148;RENAULT - LOMAS;0019-00002750;12/3/2025;$ 480.000,01;;
AG445AI;103;28/1/2025;60.000;REPARACION;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002458;12/3/2025;$ 620.888,00;;
AG445AJ;104;27/1/2025;20.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 20.000 KM ;RENAULT - LOMAS;0045-00002454;12/3/2025;$ 395.431,99;;
AF757AW;105;27/1/2025;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002453;12/3/2025;$ 936.888,03;;
AG126UE;106;23/1/2025;120.000;SERVICIO;REPARACION CALIPER DE FRENOS;RENAULT - LOMAS;0019-00002734;12/3/2025;$ 1.434.254,93;;
AA909VM;107;22/1/2025;100.000;REPARACION;REPARACION Y REEMPLAZO DEL COMPRESOR DEL A/A;RENAULT - LOMAS;0045-00002438;12/3/2025;$ 1.455.999,99;;
AF237KR;108;22/1/2025;40.000;REPARACION;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0045-00002440;12/3/2025;$ 338.168,00;;
AG278OX;109;21/1/2025;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002439;12/3/2025;$ 620.888,00;;
AA909VM;110;18/1/2025;112.000;SERVICIO;REPARACION DE CAÑO DE A/A;RENAULT - LOMAS;0045-00002434;12/3/2025;;;
